"","state_to","state_from","net_flow","year","st_to","st_from"
"19890","Puerto Rico","Wyoming",0,2019,"PR","WY"
"19891","Alaska","Alabama",505,2021,"AK","AL"
"19892","Arizona","Alabama",147,2021,"AZ","AL"
"19893","Alabama","Arkansas",321,2021,"AL","AR"
"19894","Alabama","California",659,2021,"AL","CA"
"19895","Colorado","Alabama",122,2021,"CO","AL"
"19896","Alabama","Connecticut",532,2021,"AL","CT"
"19897","Alabama","Delaware",43,2021,"AL","DE"
"19898","District of Columbia","Alabama",67,2021,"DC","AL"
"19899","Alabama","Florida",7348,2021,"AL","FL"
"19900","Georgia","Alabama",6355,2021,"GA","AL"
"19901","Hawaii","Alabama",843,2021,"HI","AL"
"19902","Alabama","Idaho",56,2021,"AL","ID"
"19903","Alabama","Illinois",2785,2021,"AL","IL"
"19904","Alabama","Indiana",1240,2021,"AL","IN"
"19905","Iowa","Alabama",34,2021,"IA","AL"
"19906","Kansas","Alabama",361,2021,"KS","AL"
"19907","Kentucky","Alabama",457,2021,"KY","AL"
"19908","Louisiana","Alabama",123,2021,"LA","AL"
"19909","Alabama","Maine",205,2021,"AL","ME"
"19910","Maryland","Alabama",438,2021,"MD","AL"
"19911","Massachusetts","Alabama",141,2021,"MA","AL"
"19912","Alabama","Michigan",1033,2021,"AL","MI"
"19913","Alabama","Minnesota",395,2021,"AL","MN"
"19914","Alabama","Mississippi",391,2021,"AL","MS"
"19915","Alabama","Missouri",1018,2021,"AL","MO"
"19916","Montana","Alabama",370,2021,"MT","AL"
"19917","Nebraska","Alabama",70,2021,"NE","AL"
"19918","Alabama","Nevada",658,2021,"AL","NV"
"19919","New Hampshire","Alabama",370,2021,"NH","AL"
"19920","Alabama","New Jersey",1719,2021,"AL","NJ"
"19921","Alabama","New Mexico",577,2021,"AL","NM"
"19922","Alabama","New York",155,2021,"AL","NY"
"19923","North Carolina","Alabama",663,2021,"NC","AL"
"19924","North Dakota","Alabama",123,2021,"ND","AL"
"19925","Ohio","Alabama",556,2021,"OH","AL"
"19926","Oklahoma","Alabama",63,2021,"OK","AL"
"19927","Oregon","Alabama",71,2021,"OR","AL"
"19928","Alabama","Pennsylvania",1343,2021,"AL","PA"
"19929","Alabama","Rhode Island",156,2021,"AL","RI"
"19930","South Carolina","Alabama",1048,2021,"SC","AL"
"19931","South Dakota","Alabama",30,2021,"SD","AL"
"19932","Tennessee","Alabama",2451,2021,"TN","AL"
"19933","Alabama","Texas",1227,2021,"AL","TX"
"19934","Alabama","Utah",0,2021,"AL","UT"
"19935","Vermont","Alabama",73,2021,"VT","AL"
"19936","Alabama","Virginia",3504,2021,"AL","VA"
"19937","Alabama","Washington",321,2021,"AL","WA"
"19938","West Virginia","Alabama",191,2021,"WV","AL"
"19939","Alabama","Wisconsin",1146,2021,"AL","WI"
"19940","Alabama","Wyoming",0,2021,"AL","WY"
"19941","Alabama","Puerto Rico",487,2021,"AL","PR"
"19942","Arizona","Alaska",2609,2021,"AZ","AK"
"19943","Arkansas","Alaska",145,2021,"AR","AK"
"19944","Alaska","California",759,2021,"AK","CA"
"19945","Colorado","Alaska",2770,2021,"CO","AK"
"19946","Alaska","Connecticut",0,2021,"AK","CT"
"19947","Alaska","Delaware",339,2021,"AK","DE"
"19948","District of Columbia","Alaska",196,2021,"DC","AK"
"19949","Florida","Alaska",775,2021,"FL","AK"
"19950","Georgia","Alaska",627,2021,"GA","AK"
"19951","Alaska","Hawaii",698,2021,"AK","HI"
"19952","Idaho","Alaska",3924,2021,"ID","AK"
"19953","Illinois","Alaska",201,2021,"IL","AK"
"19954","Alaska","Indiana",73,2021,"AK","IN"
"19955","Iowa","Alaska",101,2021,"IA","AK"
"19956","Alaska","Kansas",396,2021,"AK","KS"
"19957","Alaska","Kentucky",1036,2021,"AK","KY"
"19958","Louisiana","Alaska",1249,2021,"LA","AK"
"19959","Maine","Alaska",127,2021,"ME","AK"
"19960","Maryland","Alaska",429,2021,"MD","AK"
"19961","Alaska","Massachusetts",561,2021,"AK","MA"
"19962","Alaska","Michigan",313,2021,"AK","MI"
"19963","Alaska","Minnesota",110,2021,"AK","MN"
"19964","Mississippi","Alaska",1068,2021,"MS","AK"
"19965","Missouri","Alaska",414,2021,"MO","AK"
"19966","Montana","Alaska",234,2021,"MT","AK"
"19967","Nebraska","Alaska",8,2021,"NE","AK"
"19968","Nevada","Alaska",425,2021,"NV","AK"
"19969","Alaska","New Hampshire",149,2021,"AK","NH"
"19970","Alaska","New Jersey",15,2021,"AK","NJ"
"19971","Alaska","New Mexico",1617,2021,"AK","NM"
"19972","New York","Alaska",966,2021,"NY","AK"
"19973","North Carolina","Alaska",334,2021,"NC","AK"
"19974","North Dakota","Alaska",445,2021,"ND","AK"
"19975","Ohio","Alaska",185,2021,"OH","AK"
